account_name,campaign_name,adgroup_name,name,fb_objective,local_date,campaign_start_date,impressions,clicks,cost,currency,portal
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Install,Feed | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 1% | F | 18-45,K_Earn-3 | Video |  |,APP_INSTALLS,2019-03-07,2019-03-04 15:45:47,770,3,2.94,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Install,Feed | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 1% | F | 18-45,K_Earn-3 | Video |  |,APP_INSTALLS,2019-03-10,2019-03-04 15:45:47,260,1,0.83,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister_7d,| FR - Android - First Listers - 30d - Lookalike FR 3% | F | 18-45,K_Earn-3 | Video |  | Kids-1x1-v4.mp4,APP_INSTALLS,2019-03-04,2019-03-04 15:15:52,1,0,0.0,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Broad | None | All | W | 18-45 | Feed | Mobile | All,Install-Now | K_Earn-3 | Carousel | Gagne,APP_INSTALLS,2019-02-11,2018-11-23 11:49:55,20,0,0.03,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-1d_Lister,Story | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 1% | F | 18-45,K_Earn-3 | Video |  | Kids-4x5-v2.mp4,APP_INSTALLS,2019-02-28,2018-11-23 11:49:55,163,0,0.76,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-1d_Lister,Feed | All | Broad |  | M | 18-45,Install-Now | W_Sell-3 | Static | INSTALL_MOBILE_APP | 3in1 - Mens FR - 6 A.png,APP_INSTALLS,2019-03-06,2018-11-23 11:49:55,4079,26,1.81,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Lookalike | FR - Website - All Visitors - 30d | F | 18-45,Install-Now | K_Sell-4 | Static |  | FRB-389-Sell-052.jpg,APP_INSTALLS,2019-03-06,2018-11-22 18:48:53,269,1,0.73,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Lookalike | FR - Android - First Listers - 30d - Lookalike FR 3% | All | W | 18-45 | Feed | Mobile | All,K_Sell-8 | Feed-Static | Use App | TV ads - October - DB - horizontal - FR.mp4,APP_INSTALLS,2019-02-11,2018-11-23 11:49:55,46,0,0.05,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Broad | None | All | W | 18-45 | Feed | Mobile | All,K_Earn-3 | Feed-Static | Use App | FRB-389-Sell-045.jpg,APP_INSTALLS,2019-02-07,2018-11-23 11:49:55,275,1,0.19,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,| FR - iOS - First Listers - 30d - Lookalike FR 1% | F | 18-45,Install-Now | K_Earn-3 | Carousel | Creative-v1 | INSTALL_MOBILE_APP | Carousel - Adults - FR - 1.png,APP_INSTALLS,2019-02-15,2018-11-22 18:48:53,1685,5,9.01,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-7d_Lister,Feed | All | Broad |  | M | 18-45,W_Sell-3 | Static |  | 3in1 - Mens FR - 6 B.png,APP_INSTALLS,2019-03-09,2019-03-04 15:34:50,4252,18,9.3,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Broad |  | F | 18-45,K_Earn-3 | Video |  | Kids-4x5-v1.mp4,APP_INSTALLS,2019-03-02,2018-11-22 18:48:53,6440,25,22.92,EUR,fr
FR Vinted,Smartly_RMAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Custom Audience | FR - iOS - Install No Registration - 30d | F | 18-45,Install-Now | W_Sell-3 | Static |  | FR-389-Sell-035.jpg,CONVERSIONS,2019-02-15,2019-02-14 13:42:18,219,2,0.93,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-1d_Lister,Feed | All | Broad |  | M | 18-45,W_Sell-3 | Static | INSTALL_MOBILE_APP | 3in1 - Mens FR - 4 B.png,APP_INSTALLS,2019-03-06,2018-11-23 11:49:55,35234,142,32.77,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Story | All | Lookalike | FR - iOS - First Listers - 30d - Lookalike FR 5% | F | 18-45,K_Earn-3 | Video |  | Kids-1x1-v3.mp4,APP_INSTALLS,2019-03-09,2018-11-22 18:48:53,115,1,0.49,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-7d_Lister,Feed | All | Broad |  | F | 18-45,K_Earn-3 | Video |  |,APP_INSTALLS,2019-03-05,2019-03-04 15:34:50,509,1,1.35,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Lookalike | FR - iOS - First Listers - 30d - Lookalike FR 3% | F | 18-45,Install-Now | K_Earn-3 | Static | INSTALL_MOBILE_APP | FRB-389-Sell-047.jpg,APP_INSTALLS,2019-02-18,2018-11-22 18:48:53,4860,14,15.62,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Lookalike | FR - Android - First Listers - 30d - Lookalike FR 5% | All | W | 18-45 | Feed | Mobile | All,K_Sell-8 | Feed-Static | Use App | TV ads - October - DB - horizontal - FR.mp4,APP_INSTALLS,2019-02-10,2018-11-23 11:49:55,111,0,0.04,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-1d_Lister,Story | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 1% | F | 18-45,K_Earn-3 | Video |  | Kids-1x1-v1.mp4,APP_INSTALLS,2019-03-04,2018-11-23 11:49:55,54,1,0.32,EUR,fr
FR Vinted,Smartly_RMAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Custom Audience | FR - iOS - Install No Registration - 30d | F | 18-45,Install-Now | K_Earn-1 | Static |  | FRB-389-Sell-045.jpg,CONVERSIONS,2019-02-21,2019-02-14 13:42:18,541,2,0.47,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Install,Feed | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 1% | F | 18-45,K_Earn-3 | Video |  |,APP_INSTALLS,2019-03-05,2019-03-04 15:45:47,145,1,0.54,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Broad |  | M | 18-45,Install-Now | W_Sell-3 | Static |  | 3in1 - Mens FR - 8 A.png,APP_INSTALLS,2019-02-05,2018-11-22 18:48:53,142,0,0.16,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Feed | All | Broad |  | M | 18-45,Install-Now | W_Sell-3 | Static | INSTALL_MOBILE_APP | 3in1 - Mens FR - 5 A.png,APP_INSTALLS,2019-02-23,2018-11-23 11:49:55,442,1,1.0,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Broad |  | F | 18-45,K_Earn-3 | Video |  | Kids-1x1-v2.mp4,APP_INSTALLS,2019-02-27,2018-11-22 18:48:53,413,1,1.24,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-1d_Lister,Feed | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 5% | F | 18-45,K_Earn-3 | Video |  | Kids-4x5-v1.mp4,APP_INSTALLS,2019-03-01,2018-11-23 11:49:55,3188,8,8.67,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-1d_Lister,Feed | All | Broad |  | F | 18-45,Install-Now | K_Sell-4 | Static |  | FRB-389-Sell-050.jpg,APP_INSTALLS,2019-03-05,2018-11-23 11:49:55,0,0,0.0,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Lookalike | FR - iOS - First Listers - 30d - Lookalike FR 5% | F | 18-45,K_Earn-3 | Video |  | Kids-1x1-v3.mp4,APP_INSTALLS,2019-03-09,2018-11-22 18:48:53,458,1,0.4,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Feed | All | Broad |  | M | 18-45,W_Sell-3 | Static | INSTALL_MOBILE_APP | 3in1 - Mens FR - 4 B.png,APP_INSTALLS,2019-02-20,2018-11-23 11:49:55,466,2,0.38,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Broad |  | M | 18-45,W_Sell-3 | Static | INSTALL_MOBILE_APP | 3in1 - Mens FR - 4 B.png,APP_INSTALLS,2019-03-03,2018-11-22 18:48:53,899,2,1.42,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Broad | None | All | W | 18-45 | Feed | Mobile | All,K_Earn-3 | Feed-Static | Use App | FRB-389-Sell-043.jpg,APP_INSTALLS,2019-02-09,2018-11-22 18:48:53,4731,22,12.63,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Broad | None | All | W | 18-45 | Feed | Mobile | All,Install-Now | K_Sell-4 | Static,APP_INSTALLS,2019-02-09,2018-11-22 18:48:53,1356,8,3.4,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_iOS_oCPM_Lister,Feed | All | Broad |  | F | 18-45,K_Earn-3 | Feed-Static | Use App | FRB-389-Sell-043.jpg | USE_APP | FRB-389-Sell-043.jpg,APP_INSTALLS,2019-02-22,2018-11-22 18:48:53,750,2,2.01,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-1d_Lister,Feed | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 5% | F | 18-45,Install-Now | K_Sell-4 | Static |  | FRB-389-Sell-050.jpg,APP_INSTALLS,2019-03-10,2018-11-23 11:49:55,1007,4,1.31,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Install,Feed | All | Broad | FR - Android - First Listers - 30d - Lookalike FR 5% | F | 18-45,K_Earn-3 | Video |  |,APP_INSTALLS,2019-03-06,2019-03-04 15:45:47,54,0,0.11,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM-7d_Lister,Feed | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 3% | F | 18-45,K_Earn-3 | Video |  |,APP_INSTALLS,2019-03-04,2019-03-04 15:34:50,181,0,0.66,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Feed | All | Broad |  | M | 18-45,Install-Now | W_Sell-3 | Static |  | 3in1 - Mens FR - 4 A.png,APP_INSTALLS,2019-02-04,2018-11-23 11:49:55,9012,59,16.13,EUR,fr
FR Vinted,Smartly_PRAP_FR-FR_Vinted_Android_oCPM_Lister,Feed | All | Lookalike | FR - Android - First Listers - 30d - Lookalike FR 1% | F | 18-45,Install-Now | K_Earn-3 | Carousel | Vends | INSTALL_MOBILE_APP | Carousel - Kids - FR - 1 B.png,APP_INSTALLS,2019-02-17,2018-11-23 11:49:55,145,0,0.6,EUR,fr
